name,nationality,club,preferred.foot,position_group,age_group,overall,potential,wage,value
A. Westwood,England,Burnley,Right,MID,25 to 30,75,75,48000,6000000
C. Ciano,Italy,Frosinone,Left,FWD,25 to 30,75,75,17000,6000000
A. Conti,Italy,Milan,Right,MID,21 to 25,75,79,58000,8000000
Bojan,Spain,Stoke City,Right,MID,25 to 30,75,75,40000,7000000
C. Vargas,Colombia,Deportivo Cali,Left,GK,25 to 30,75,76,5000,5000000
Éder,Portugal,Lokomotiv Moscow,Right,FWD,25 to 30,75,75,1000,6000000
Y. Benzia,Algeria,Fenerbahçe SK,Right,MID,21 to 25,75,81,25000,9000000
W. Hennessey,Wales,Crystal Palace,Right,GK,31 to 35,75,75,34000,4000000
E. Thommy,Germany,VfB Stuttgart,Right,MID,21 to 25,75,79,26000,8000000
Bustinza,Spain,CD Leganés,Right,DEF,25 to 30,75,78,24000,7000000
Bernardo,Brazil,Brighton & Hove Albion,Left,DEF,21 to 25,75,80,33000,7000000
P. Cissé,Senegal,Alanyaspor,Right,FWD,31 to 35,75,75,16000,4000000
Oier,Spain,Levante UD,Left,GK,25 to 30,75,75,17000,4000000
D. Gayle,England,West Bromwich Albion,Right,FWD,25 to 30,75,75,46000,7000000
Joelinton,Brazil,TSG 1899 Hoffenheim,Right,FWD,21 to 25,75,80,25000,9000000
A. Pérez,Colombia,Deportivo Cali,Right,MID,Over 35,75,75,2000,900000
B. Jones,Australia,Al Nassr,Left,GK,Over 35,75,75,17000,900000
J. Drmić,Switzerland,Borussia Mönchengladbach,Right,FWD,21 to 25,75,78,26000,8000000
M. Mount,England,Derby County,Right,MID,20 and under,75,86,37000,11000000
A. McGregor,Scotland,Rangers FC,Right,GK,Over 35,75,75,22000,900000
O. Elabdellaoui,Norway,Olympiacos CFP,Right,DEF,25 to 30,75,76,1000,6000000
R. Steffen,Switzerland,VfL Wolfsburg,Left,FWD,25 to 30,75,75,41000,7000000
K. Kanga,Gabon,Sparta Praha,Right,MID,25 to 30,75,75,1000,7000000
J. Ananidze,Georgia,Spartak Moscow,Right,MID,21 to 25,75,78,1000,8000000
S. Ilsanker,Austria,RB Leipzig,Right,MID,25 to 30,75,75,40000,5000000
A. Blake,Jamaica,Philadelphia Union,Right,GK,25 to 30,75,78,6000,5000000
Nicholas Aldair,Brazil,Fluminense,Right,FWD,25 to 30,75,75,29000,7000000
R. Sessegnon,England,Fulham,Left,MID,20 and under,75,88,27000,12000000
Jorginhson,Brazil,Vitória,Left,MID,25 to 30,75,75,13000,6000000
Carlitos,Spain,Legia Warszawa,Right,FWD,25 to 30,75,75,12000,7000000
L. Nguyen,United States,Los Angeles FC,Right,MID,31 to 35,75,75,9000,6000000
A. Paschalakis,Greece,PAOK,Right,GK,25 to 30,75,76,1000,5000000
Fabrício,Brazil,Urawa Red Diamonds,Right,FWD,25 to 30,75,75,15000,7000000
M. Coco,France,En Avant de Guingamp,Right,MID,21 to 25,75,81,19000,9000000
K. Babacar,Senegal,Sassuolo,Right,FWD,21 to 25,75,77,45000,8000000
Postigo,Spain,Levante UD,Right,DEF,25 to 30,75,75,21000,5000000
Renato Sanches,Portugal,FC Bayern München,Right,MID,20 and under,75,84,41000,10000000
M. Caruzzo,Argentina,Rosario Central,Right,DEF,31 to 35,75,75,15000,2000000
G. Konan,Ivory Coast,Stade de Reims,Left,DEF,21 to 25,75,81,14000,7000000
S. Mounié,Benin,Huddersfield Town,Right,FWD,21 to 25,75,82,40000,9000000
P. Capelle,France,Angers SCO,Left,DEF,31 to 35,75,75,20000,4000000
T. Davies,England,Everton,Right,MID,20 and under,75,84,54000,10000000
N. Dirar,Morocco,Fenerbahçe SK,Right,MID,31 to 35,75,75,53000,5000000
J. Toornstra,Netherlands,Feyenoord,Right,MID,25 to 30,75,75,14000,6000000
Paulinho,Brazil,Portimonense SC,Left,MID,21 to 25,75,82,9000,9000000
S. Larsson,Sweden,Feyenoord,Right,FWD,21 to 25,75,77,14000,8000000
P. Tau,South Africa,,Right,FWD,21 to 25,75,81,0,0
J. Kluivert,Netherlands,Roma,Right,FWD,20 and under,75,86,28000,11000000
H. Ayala,Mexico,Tigres U.A.N.L.,Right,DEF,31 to 35,75,75,42000,4000000
Miguel Silva,Portugal,Vitória Guimarães,Right,GK,21 to 25,75,80,7000,6000000
D. Rolán,Uruguay,CD Leganés,Right,FWD,21 to 25,75,78,11000,8000000
L. Klostermann,Germany,RB Leipzig,Right,DEF,21 to 25,75,82,32000,8000000
G. Rodríguez,Argentina,Club América,Right,MID,21 to 25,75,79,41000,7000000
M. Locatelli,Italy,Sassuolo,Right,MID,20 and under,75,83,43000,8000000
F. Caputo,Italy,Empoli,Right,FWD,25 to 30,75,75,16000,6000000
A. Roa,Colombia,Club Atlético Huracán,Right,MID,21 to 25,75,78,4000,8000000
Keko,Spain,Real Valladolid CF,Right,MID,25 to 30,75,76,11000,8000000
A. El Khayati,Netherlands,ADO Den Haag,Right,MID,25 to 30,75,75,11000,6000000
F. Schär,Switzerland,Newcastle United,Right,DEF,25 to 30,75,80,38000,7000000
A. Haidara,Mali,FC Red Bull Salzburg,Right,MID,20 and under,75,84,24000,10000000
Chema Rodríguez,Spain,Levante UD,Left,DEF,25 to 30,75,78,20000,7000000
G. dos Santos,Mexico,LA Galaxy,Left,FWD,25 to 30,75,75,10000,6000000
T. Bifouma,Congo,MKE Ankaragücü,Right,MID,25 to 30,75,76,21000,8000000
Dani Rochelinhas,Brazil,Chapecoense,Left,MID,25 to 30,75,75,17000,7000000
M. Ostrzolek,Germany,Hannover 96,Left,DEF,25 to 30,75,75,29000,5000000
Sandro,Spain,Real Sociedad,Right,FWD,21 to 25,75,81,69000,9000000
L. Deaux,France,En Avant de Guingamp,Right,MID,25 to 30,75,75,21000,5000000
J. Vuković,Serbia,Olympiacos CFP,Left,DEF,25 to 30,75,75,1000,4000000
J. Hansen,Denmark,FC Midtjylland,Right,GK,31 to 35,75,75,16000,3000000
Gonçalo Paciência,Portugal,Eintracht Frankfurt,Right,FWD,21 to 25,75,82,29000,9000000
Córdoba,Spain,Athletic Club de Bilbao,Left,FWD,21 to 25,75,83,18000,10000000
P. Pekarík,Slovakia,Hertha BSC,Right,DEF,31 to 35,75,75,23000,4000000
Ximo Navarro,Spain,Deportivo Alavés,Right,DEF,25 to 30,75,75,21000,5000000
Pablo Hernández,Spain,Leeds United,Right,MID,31 to 35,75,75,40000,4000000
G. Kashia,Georgia,San Jose Earthquakes,Right,DEF,25 to 30,75,75,8000,4000000
Cássio,Brazil,Al Taawoun,Right,GK,Over 35,75,75,10000,450000
S. Bamba,Ivory Coast,Cardiff City,Right,DEF,31 to 35,75,75,38000,2000000
S. Kums,Belgium,RSC Anderlecht,Right,MID,25 to 30,75,75,19000,6000000
Fábio Martins,Portugal,SC Braga,Right,MID,21 to 25,75,78,12000,8000000
M. Suárez,Argentina,Belgrano de Córdoba,Right,FWD,25 to 30,75,75,15000,6000000
S. Mitrović,Serbia,RC Strasbourg Alsace,Right,DEF,25 to 30,75,76,18000,6000000
D. Aogo,Germany,VfB Stuttgart,Left,MID,31 to 35,75,75,28000,4000000
B. Engels,Belgium,Stade de Reims,Right,DEF,21 to 25,75,82,14000,8000000
F. Tait,France,Angers SCO,Right,MID,21 to 25,75,78,23000,8000000
D. Zagadou,France,Borussia Dortmund,Left,DEF,20 and under,75,85,16000,9000000
M. Diamé,Senegal,Newcastle United,Right,MID,31 to 35,75,75,42000,5000000
A. Younes,Germany,Napoli,Right,FWD,21 to 25,75,76,47000,8000000
B. Verstraete,Belgium,KAA Gent,Right,MID,21 to 25,75,80,16000,7000000
K. Akpoguma,Germany,TSG 1899 Hoffenheim,Right,DEF,21 to 25,75,81,24000,8000000
B. Santamaria,France,Angers SCO,Right,MID,21 to 25,75,80,17000,7000000
E. Moretti,Italy,Torino,Left,DEF,Over 35,75,75,24000,900000
H. Behrens,Germany,1. FC Nürnberg,Right,MID,25 to 30,75,75,24000,6000000
M. Maignan,France,LOSC Lille,Right,GK,21 to 25,75,83,18000,7000000
Y. Karamoh,France,FC Girondins de Bordeaux,Right,MID,20 and under,75,85,24000,10000000
V. Ignatiev,Russia,Lokomotiv Moscow,Right,DEF,31 to 35,75,75,1000,4000000
A. Thomasson,France,RC Strasbourg Alsace,Right,MID,21 to 25,75,77,16000,8000000
D. Amartey,Ghana,Leicester City,Right,DEF,21 to 25,75,79,43000,7000000
R. Özcan,Austria,Bayer 04 Leverkusen,Left,GK,31 to 35,75,75,36000,2000000
A. Donnarumma,Italy,Brescia,Right,FWD,25 to 30,75,75,6000,7000000
Timor,Spain,UD Las Palmas,Left,MID,25 to 30,75,75,11000,5000000
C. McGregor,Scotland,Celtic,Left,MID,21 to 25,75,78,44000,8000000
R. Martínez,Colombia,Club América,Right,FWD,21 to 25,75,81,50000,9000000
V. Buyalskyi,Ukraine,Dynamo Kyiv,Right,MID,21 to 25,75,80,1000,8000000
H. Arter,Republic of Ireland,Cardiff City,Left,MID,25 to 30,75,75,55000,6000000
A. Mawson,England,Fulham,Right,DEF,21 to 25,75,84,38000,9000000
F. Guilbert,France,Stade Malherbe Caen,Right,DEF,21 to 25,75,84,17000,9000000
M. Lemos,Uruguay,Sassuolo,Right,DEF,21 to 25,75,80,9000,7000000
S. Sturaro,Italy,Sporting CP,Right,MID,21 to 25,75,78,71000,8000000
A. Duncan,Ghana,Sassuolo,Left,MID,21 to 25,75,80,42000,8000000
Marlon,Brazil,Sassuolo,Right,DEF,21 to 25,75,82,34000,8000000
M. Isla,Chile,Fenerbahçe SK,Right,DEF,25 to 30,75,75,48000,4000000
Thiago Maia,Brazil,LOSC Lille,Left,MID,21 to 25,75,82,19000,8000000
Y. Aït Bennasser,Morocco,AS Monaco,Right,MID,21 to 25,75,83,39000,10000000
O. Toivonen,Sweden,Melbourne Victory,Right,FWD,31 to 35,75,75,11000,6000000
J. Urretaviscaya,Uruguay,Monterrey,Right,FWD,25 to 30,75,75,46000,6000000
Yuri Ribeiro,Portugal,SL Benfica,Left,DEF,21 to 25,75,81,8000,7000000
N. Tomović,Serbia,Chievo Verona,Right,DEF,25 to 30,75,75,15000,4000000
F. Roncaglia,Argentina,RC Celta,Right,DEF,31 to 35,75,75,20000,4000000
R. Botta,Argentina,San Lorenzo de Almagro,Left,MID,25 to 30,75,75,21000,6000000
R. Mandragora,Italy,Udinese,Left,MID,21 to 25,75,85,18000,10000000
A. Adomah,Ghana,Aston Villa,Right,MID,25 to 30,75,75,20000,6000000
D. Samassékou,Mali,FC Red Bull Salzburg,Right,MID,21 to 25,75,85,26000,9000000
M. Yoshida,Japan,Southampton,Right,DEF,25 to 30,75,75,40000,5000000
N. Viergever,Netherlands,PSV,Left,DEF,25 to 30,75,75,15000,5000000
R. Amalfitano,France,Dijon FCO,Right,MID,25 to 30,75,75,15000,6000000
D. Cataldi,Italy,Lazio,Right,MID,21 to 25,75,79,35000,8000000
Martín,Spain,Deportivo Alavés,Right,DEF,21 to 25,75,80,17000,7000000
Tiago Pinto,Portugal,MKE Ankaragücü,Left,DEF,25 to 30,75,75,19000,4000000
Fernandinho,Brazil,Chongqing Dangdai Lifan FC SWM Team,Left,MID,21 to 25,75,78,10000,8000000
C. Cueva,Peru,,Right,MID,25 to 30,75,75,0,0
M. Gaćinović,Serbia,Eintracht Frankfurt,Right,MID,21 to 25,75,81,26000,9000000
G. Shoji,Japan,Kashima Antlers,Right,DEF,21 to 25,75,80,11000,7000000
L. Rigoni,Italy,Parma,Right,MID,31 to 35,75,75,37000,3000000
M. Krmenčík,Czech Republic,Viktoria Plzeň,Right,FWD,21 to 25,75,80,1000,9000000
M. Mevlja,Slovenia,,Right,DEF,25 to 30,75,77,0,0
C. Daniels,England,Bournemouth,Left,DEF,31 to 35,75,75,49000,4000000
K. Stafylidis,Greece,FC Augsburg,Left,DEF,21 to 25,75,79,18000,7000000
Sabin Merino,Spain,CD Leganés,Right,FWD,25 to 30,75,76,23000,8000000
A. Flint,England,Middlesbrough,Right,DEF,25 to 30,75,76,47000,6000000
Brais Méndez,Spain,RC Celta,Left,MID,21 to 25,75,84,16000,10000000
Merino,Spain,Real Sociedad,Left,MID,21 to 25,75,84,22000,10000000
S. Missiroli,Italy,SPAL,Right,MID,31 to 35,75,75,15000,5000000
Serantes,Spain,CD Leganés,Right,GK,25 to 30,75,77,21000,5000000
V. Guzmán,Mexico,Pachuca,Right,MID,21 to 25,75,80,24000,9000000
D. Biseswar,Netherlands,PAOK,Right,MID,25 to 30,75,75,1000,6000000
E. Mas,Argentina,Boca Juniors,Left,DEF,25 to 30,75,75,21000,5000000
Nuno Pinto,Portugal,Vitória de Setúbal,Left,DEF,31 to 35,75,75,7000,4000000
Carlos Mané,Portugal,Sporting CP,Right,MID,21 to 25,75,81,11000,9000000
Borja Valle,Spain,Deportivo de La Coruña,Right,FWD,21 to 25,75,78,11000,8000000
Zeca,Greece,FC København,Right,MID,25 to 30,75,75,21000,6000000
C. Toselli,Chile,CD Everton de Viña del Mar,Right,GK,25 to 30,75,75,4000,4000000
M. Bizot,Netherlands,AZ Alkmaar,Right,GK,25 to 30,75,78,11000,5000000
K. Ayhan,Turkey,Fortuna Düsseldorf,Right,DEF,21 to 25,75,80,22000,7000000
Ricardo Ferreira,Portugal,SC Braga,Right,DEF,21 to 25,75,79,12000,7000000
N. Roux,France,En Avant de Guingamp,Right,FWD,25 to 30,75,75,24000,6000000
Hernâni,Portugal,FC Porto,Left,MID,25 to 30,75,75,13000,7000000
M. Çağıran,Turkey,Çaykur Rizespor,Right,MID,21 to 25,75,79,13000,7000000
W. Morgan,Jamaica,Leicester City,Right,DEF,31 to 35,75,75,50000,2000000
J. Alonso,Paraguay,RC Celta,Left,DEF,21 to 25,75,80,25000,7000000
M. Wakaso,Ghana,Deportivo Alavés,Left,MID,25 to 30,75,75,22000,7000000
K. Traoré,Ivory Coast,,Left,MID,25 to 30,75,75,0,0
Y. Mvogo,Switzerland,RB Leipzig,Right,GK,21 to 25,75,80,25000,6000000
Kaíquão Castro,Brazil,Fluminense,Right,GK,31 to 35,75,75,20000,2000000
K. Fofana,Ivory Coast,,Right,FWD,25 to 30,75,75,0,0
P. Hurtado,Peru,Atiker Konyaspor,Right,MID,25 to 30,75,75,18000,7000000
D. Bocanegra,Colombia,Atlético Nacional,Right,DEF,31 to 35,75,75,6000,4000000
Melero,Spain,SD Huesca,Right,MID,21 to 25,75,81,17000,8000000
Borja Bastón,Spain,Deportivo Alavés,Right,FWD,21 to 25,75,78,29000,8000000
O. Murillo,Colombia,Pachuca,Left,DEF,25 to 30,75,75,25000,4000000
O. Onazi,Nigeria,Trabzonspor,Right,MID,21 to 25,75,78,25000,7000000
C. Günter,Germany,SC Freiburg,Left,DEF,21 to 25,75,76,20000,6000000
I. Amadou,France,Sevilla FC,Right,MID,21 to 25,75,80,14000,7000000
Unai López,Spain,Athletic Club de Bilbao,Right,MID,21 to 25,75,82,19000,9000000
K. Iheanacho,Nigeria,Leicester City,Left,FWD,21 to 25,75,83,45000,10000000
C. Söyüncü,Turkey,Leicester City,Right,DEF,21 to 25,75,83,43000,8000000
B. Pearson,England,Preston North End,Right,MID,21 to 25,75,81,12000,8000000
F. Niederlechner,Germany,SC Freiburg,Right,FWD,25 to 30,75,75,25000,7000000
S. Denswil,Netherlands,Club Brugge KV,Left,DEF,21 to 25,75,79,19000,7000000
G. Rodríguez,Argentina,San Lorenzo de Almagro,Right,DEF,31 to 35,75,75,18000,2000000
P. Guiñazú,Argentina,Club Atlético Talleres,Left,MID,Over 35,75,75,10000,450000
H. Hateboer,Netherlands,Atalanta,Right,MID,21 to 25,75,80,22000,9000000
I. Fernández,Argentina,River Plate,Left,MID,25 to 30,75,75,23000,6000000
L. Blas,France,En Avant de Guingamp,Left,MID,20 and under,75,84,16000,10000000
M. Sarr,France,OGC Nice,Left,DEF,20 and under,75,84,11000,8000000
Mikel Rico,Spain,Athletic Club de Bilbao,Right,MID,31 to 35,75,75,21000,3000000
F. Neuhaus,Germany,Borussia Mönchengladbach,Right,MID,21 to 25,75,85,19000,10000000
S. İnan,Turkey,Galatasaray SK,Right,MID,31 to 35,75,75,47000,3000000
C. Maggio,Italy,Benevento,Right,DEF,Over 35,75,75,4000,775000
Mexer,Mozambique,Stade Rennais FC,Right,DEF,25 to 30,75,75,28000,5000000
F. Magnanelli,Italy,Sassuolo,Right,MID,31 to 35,75,75,40000,2000000
J. Figal,Argentina,Independiente,Right,DEF,21 to 25,75,81,15000,8000000
V. Claesson,Sweden,,Right,MID,25 to 30,75,78,0,0
F. Helander,Sweden,Bologna,Left,DEF,21 to 25,75,77,25000,7000000
J. Gondorf,Germany,SC Freiburg,Right,MID,25 to 30,75,75,23000,6000000
R. Ghezzal,Algeria,Leicester City,Left,MID,25 to 30,75,76,54000,8000000
Adama,Spain,Wolverhampton Wanderers,Right,FWD,21 to 25,75,85,54000,10000000
O. Duda,Slovakia,Hertha BSC,Right,MID,21 to 25,75,82,22000,9000000
R. Bensebaini,Algeria,Stade Rennais FC,Left,DEF,21 to 25,75,79,23000,7000000
L. Depoitre,Belgium,Huddersfield Town,Right,FWD,25 to 30,75,75,47000,6000000
N. Vlašić,Croatia,PFC CSKA Moscow,Right,MID,20 and under,75,84,1000,10000000
Rochina,Spain,Levante UD,Left,MID,25 to 30,75,75,22000,7000000
M. Doherty,Republic of Ireland,Wolverhampton Wanderers,Right,DEF,25 to 30,75,78,52000,7000000
C. Musonda,Belgium,Vitesse,Right,FWD,21 to 25,75,85,64000,11000000
João Teixeira,Portugal,Vitória Guimarães,Right,MID,21 to 25,75,78,10000,8000000
S. Ward,Republic of Ireland,Burnley,Left,DEF,31 to 35,75,75,42000,3000000
Y. Cardinale,France,OGC Nice,Right,GK,21 to 25,75,78,18000,6000000
S. Francis,England,Bournemouth,Right,DEF,31 to 35,75,75,49000,2000000
Lafortiscinho,Brazil,Botafogo,Left,DEF,25 to 30,75,75,20000,5000000
M. Valdifiori,Italy,SPAL,Right,MID,31 to 35,75,75,13000,3000000
Rubén Pérez,Spain,CD Leganés,Right,MID,25 to 30,75,75,26000,5000000
D. Boyata,Belgium,Celtic,Right,DEF,25 to 30,75,77,42000,6000000
N. Mendy,France,Leicester City,Right,MID,25 to 30,75,77,50000,6000000
A. Martín Arias,Argentina,Gimnasia y Esgrima La Plata,Right,GK,21 to 25,75,80,11000,6000000
Pedraza,Spain,Villarreal CF,Left,MID,21 to 25,75,80,24000,9000000
Ricardo,Portugal,GD Chaves,Right,GK,31 to 35,75,75,5000,1000000
Tarantini,Portugal,Rio Ave FC,Right,MID,31 to 35,75,75,10000,3000000
K. Stöger,Austria,Fortuna Düsseldorf,Left,MID,21 to 25,75,80,24000,9000000
C. Mbemba,DR Congo,FC Porto,Right,DEF,21 to 25,75,80,10000,7000000
A. Limbombe,Belgium,FC Nantes,Right,FWD,21 to 25,75,79,21000,8000000
K. McDonald,Scotland,Fulham,Right,MID,25 to 30,75,75,46000,5000000
O. Niasse,Senegal,Everton,Right,FWD,25 to 30,75,75,82000,7000000
G. Herrera,Argentina,Club Atlético Talleres,Left,GK,25 to 30,75,78,12000,6000000
R. Borré,Colombia,River Plate,Right,FWD,21 to 25,75,82,21000,9000000
E. Zukanović,Bosnia Herzegovina,Genoa,Left,DEF,31 to 35,75,75,15000,4000000
A. Elis,Honduras,Houston Dynamo,Right,MID,21 to 25,75,82,8000,9000000
M. Fernández,Chile,Club Necaxa,Right,MID,31 to 35,75,75,14000,5000000
D. Rodríguez,Uruguay,Club Tijuana,Right,MID,25 to 30,75,75,20000,5000000
T. Klose,Switzerland,Norwich City,Right,DEF,25 to 30,75,75,25000,4000000
A. Cornelius,Denmark,FC Girondins de Bordeaux,Left,FWD,21 to 25,75,79,26000,8000000
Kwon Chang Hoon,Korea Republic,Dijon FCO,Left,MID,21 to 25,75,79,13000,8000000
C. Larin,Canada,Beşiktaş JK,Right,FWD,21 to 25,75,82,39000,9000000
Tchê Tchê,Brazil,Dynamo Kyiv,Right,MID,21 to 25,75,78,1000,8000000
M. Leckie,Australia,Hertha BSC,Right,MID,25 to 30,75,75,25000,7000000
L. Quiñones,Colombia,Deportivo Toluca,Left,MID,25 to 30,75,75,46000,7000000
Fontàs,Spain,Sporting Kansas City,Left,DEF,25 to 30,75,76,8000,6000000
K. Vermeer,Netherlands,Feyenoord,Right,GK,31 to 35,75,75,10000,3000000
A. Surman,England,Bournemouth,Left,MID,31 to 35,75,75,53000,5000000
M. Höger,Germany,1. FC Köln,Right,MID,25 to 30,75,75,21000,6000000
S. Dann,England,Crystal Palace,Right,DEF,31 to 35,75,75,42000,4000000
Jovane Cabral,Cape Verde,Sporting CP,Right,MID,20 and under,75,87,9000,12000000
C. Cathcart,Northern Ireland,Watford,Right,DEF,25 to 30,75,75,44000,5000000
Zaldúa,Spain,Real Sociedad,Right,DEF,25 to 30,75,78,23000,7000000
Pelé,Guinea Bissau,AS Monaco,Right,MID,25 to 30,75,77,48000,6000000
M. Kelly,England,Crystal Palace,Right,DEF,25 to 30,75,76,44000,6000000
Y. Bolasie,DR Congo,Aston Villa,Right,MID,25 to 30,75,75,76000,6000000
L. Zelarayán,Argentina,Tigres U.A.N.L.,Right,MID,25 to 30,75,77,46000,8000000
Gelson Fernandes,Switzerland,Eintracht Frankfurt,Right,MID,31 to 35,75,75,28000,4000000
D. Glushakov,Russia,Spartak Moscow,Right,MID,31 to 35,75,75,1000,4000000
Lee Jae Sung,Korea Republic,Holstein Kiel,Left,MID,21 to 25,75,78,13000,8000000
Baiano,Brazil,Alanyaspor,Right,DEF,31 to 35,75,75,13000,4000000
A. Hurtado,Colombia,Monterrey,Right,FWD,31 to 35,75,75,44000,6000000
A. Mierzejewski,Poland,Changchun Yatai FC,Left,MID,31 to 35,75,75,12000,6000000
V. Janssen,Netherlands,Tottenham Hotspur,Left,FWD,21 to 25,75,78,64000,8000000
E. Paredes,Chile,Colo-Colo,Left,FWD,Over 35,75,75,7000,2000000
B. Alemán,Uruguay,Ettifaq FC,Left,MID,25 to 30,75,75,29000,6000000
P. Retsos,Greece,Bayer 04 Leverkusen,Right,DEF,20 and under,75,85,19000,9000000
J. Hernández,Colombia,SD Huesca,Right,FWD,20 and under,75,82,26000,9000000
S. Corchia,France,SL Benfica,Right,DEF,25 to 30,75,75,14000,5000000
Rubén Pardo,Spain,Real Sociedad,Right,MID,21 to 25,75,78,24000,8000000
P. Goltz,Argentina,Boca Juniors,Right,DEF,31 to 35,75,75,20000,2000000
D. Türüç,Turkey,Kayserispor,Left,MID,21 to 25,75,79,14000,8000000
B. Mechele,Belgium,Club Brugge KV,Right,DEF,21 to 25,75,79,19000,7000000
Kaimo Lima,Brazil,Fluminense,Left,DEF,31 to 35,75,75,24000,2000000
R. Rodelin,France,En Avant de Guingamp,Right,MID,25 to 30,75,75,25000,7000000
Bobô,Brazil,Alanyaspor,Right,FWD,31 to 35,75,75,16000,4000000
L. Ciman,Belgium,Dijon FCO,Right,DEF,31 to 35,75,75,13000,3000000
D. Ba,Senegal,Shanghai Greenland Shenhua FC,Right,FWD,31 to 35,75,75,17000,4000000
H. Medunjanin,Bosnia Herzegovina,Philadelphia Union,Left,MID,31 to 35,75,75,9000,3000000
José Cañas,Spain,PAOK,Right,MID,31 to 35,75,75,1000,4000000
Y. Osorio,Venezuela,Vitória Guimarães,Right,DEF,21 to 25,75,83,10000,8000000
Titi,Brazil,Göztepe SK,Left,DEF,25 to 30,75,75,22000,4000000
Carles Gil,Spain,Deportivo de La Coruña,Left,MID,21 to 25,75,76,10000,8000000
P. Lasne,France,Montpellier HSC,Left,MID,25 to 30,75,75,25000,6000000
Lekue,Spain,Athletic Club de Bilbao,Right,DEF,21 to 25,75,78,19000,7000000
A. Silva,Uruguay,Montreal Impact,Right,FWD,25 to 30,75,75,10000,6000000
A. Danjuma Groeneveld,Netherlands,Club Brugge KV,Right,MID,21 to 25,75,84,16000,10000000
C. Luyindama,DR Congo,Standard de Liège,Right,DEF,21 to 25,75,80,13000,7000000
L. González Pirez,Argentina,Atlanta United,Right,DEF,25 to 30,75,78,8000,7000000
Sergio Álvarez,Spain,SD Eibar,Right,MID,25 to 30,75,78,20000,7000000
M. Cornet,Ivory Coast,Olympique Lyonnais,Left,FWD,21 to 25,75,80,41000,9000000
M. Schnatterer,Germany,1. FC Heidenheim 1846,Right,MID,31 to 35,75,75,14000,5000000
O. Kharbin,Syria,Al Hilal,Right,FWD,21 to 25,75,80,33000,9000000
Sergi Guardiola,Spain,Getafe CF,Left,FWD,25 to 30,75,76,11000,8000000
T. Souček,Czech Republic,SK Slavia Praha,Right,MID,21 to 25,75,83,1000,8000000
Y. Ravet,France,SC Freiburg,Right,MID,25 to 30,75,75,24000,6000000
T. Serero,South Africa,Vitesse,Right,MID,25 to 30,75,75,15000,6000000
B. Douglas,Scotland,Leeds United,Left,DEF,25 to 30,75,75,38000,5000000
S. Johnstone,England,West Bromwich Albion,Right,GK,21 to 25,75,80,23000,6000000
Medrán,Spain,Rayo Vallecano,Right,MID,21 to 25,75,81,26000,9000000
J. Corona,Mexico,Cruz Azul,Right,GK,Over 35,75,75,12000,450000
I. Fetfatzidis,Greece,Olympiacos CFP,Left,MID,25 to 30,75,75,1000,7000000
S. Romero,Argentina,Independiente,Right,MID,25 to 30,75,75,22000,6000000
B. Jokič,Slovenia,,Left,DEF,31 to 35,75,75,0,0
S. Sinclair,England,Celtic,Right,MID,25 to 30,75,75,48000,6000000
L. Krejčí,Czech Republic,Bologna,Left,FWD,21 to 25,75,75,30000,7000000
L. Orbán,Argentina,Racing Club,Left,DEF,25 to 30,74,74,18000,4000000
A. Hamdallah,Morocco,Al Nassr,Right,FWD,25 to 30,74,74,35000,6000000
R. Tapia,Peru,Feyenoord,Right,MID,21 to 25,74,79,10000,6000000
O. Watkins,England,Brentford,Right,FWD,21 to 25,74,81,35000,8000000
Duirval Diniz,Brazil,Atlético Paranaense,Right,DEF,31 to 35,74,74,13000,1000000
Arribas,Spain,U.N.A.M.,Right,DEF,25 to 30,74,74,18000,4000000
B. Dabo,Burkina Faso,Fiorentina,Right,MID,25 to 30,74,77,43000,7000000
G. Lezcano,Argentina,Monarcas Morelia,Right,FWD,31 to 35,74,74,12000,4000000
Bebeto,Brazil,Clube Sport Marítimo,Right,DEF,25 to 30,74,74,10000,4000000
L. Sobiech,Germany,1. FC Köln,Right,DEF,25 to 30,74,74,17000,4000000
Guerrero,Spain,Olympiacos CFP,Right,FWD,25 to 30,74,74,1000,6000000
K. Boutaïb,Morocco,Yeni Malatyaspor,Right,FWD,31 to 35,74,74,15000,5000000
T. Hlatshwayo,South Africa,,Right,DEF,25 to 30,74,75,0,0
M. Krohn-Dehli,Denmark,Deportivo de La Coruña,Right,MID,31 to 35,74,74,7000,2000000
Lucas Torró,Spain,Eintracht Frankfurt,Right,MID,21 to 25,74,81,22000,7000000
J. Vossen,Belgium,Club Brugge KV,Right,FWD,25 to 30,74,74,22000,5000000
J. Rodríguez,Mexico,Lobos BUAP,Right,GK,21 to 25,74,77,22000,5000000
M. Pasqual,Italy,Empoli,Left,DEF,Over 35,74,74,9000,650000
Zubeldia,Spain,Real Sociedad,Right,MID,21 to 25,74,81,17000,8000000
Da Costa,Brazil,Bologna,Right,GK,31 to 35,74,74,20000,2000000
D. Kolář,Czech Republic,Viktoria Plzeň,Right,MID,31 to 35,74,74,1000,4000000
M. Zaldivia,Argentina,Colo-Colo,Right,DEF,25 to 30,74,76,8000,5000000
S. Ghoddos,Iran,Amiens SC,Right,MID,21 to 25,74,79,16000,7000000
A. Bălută,Romania,SK Slavia Praha,Right,MID,21 to 25,74,77,1000,7000000
T. Melia,United States,Sporting Kansas City,Right,GK,31 to 35,74,74,6000,3000000
